CLIENTNUM;Attrition_Flag;Customer_Age;Gender;Dependent_count;Education_Level;Marital_Status;Income_Category;Card_Category;Months_on_book;Total_Relationship_Count;Months_Inactive_12_mon;Contacts_Count_12_mon;Credit_Limit;Avg_Open_To_Buy;Total_Trans_Amt;Total_Trans_Ct
784725333;Existing Customer;41;M;3;High School;Married;$40K - $60K;Blue;33;4;2;1;4470;3790;931;18
811604133;Existing Customer;47;F;4;Unknown;Single;Less than $40K;Blue;36;3;3;2;2492;932;1126;23
789124683;Existing Customer;54;M;2;Unknown;Married;$80K - $120K;Blue;42;4;2;3;12217;12217;1110;21
771071958;Existing Customer;41;F;3;Graduate;Single;Less than $40K;Blue;28;6;1;2;7768;6099;1051;22
720466383;Existing Customer;59;M;1;High School;Unknown;$40K - $60K;Blue;46;4;1;2;14784;13410;1197;23
804424383;Existing Customer;63;M;1;Unknown;Married;$60K - $80K;Blue;56;3;3;2;10215;9205;1904;40
718813833;Existing Customer;44;F;3;Uneducated;Single;Unknown;Blue;34;5;2;2;10100;10100;1052;18
806624208;Existing Customer;47;M;4;High School;Married;$40K - $60K;Blue;42;6;0;0;4785;3423;1045;38
778348233;Existing Customer;53;M;3;Unknown;Married;$80K - $120K;Blue;33;3;2;3;2753;942;1038;25
712991808;Existing Customer;53;M;2;Uneducated;Married;$60K - $80K;Blue;48;2;5;1;2451;761;1596;26
709029408;Existing Customer;41;M;4;Graduate;Married;$60K - $80K;Blue;36;4;1;2;8923;6406;1589;24
788658483;Existing Customer;53;F;2;College;Married;Less than $40K;Blue;38;5;2;3;2650;1160;1411;28
787937058;Existing Customer;58;M;0;Graduate;Married;$80K - $120K;Blue;49;6;2;2;12555;10859;1291;24
715318008;Existing Customer;55;F;1;College;Single;Less than $40K;Blue;36;4;2;1;3520;1606;1407;43
713962233;Existing Customer;55;F;3;Graduate;Married;Less than $40K;Blue;36;6;2;3;3035;737;1877;37
785432733;Existing Customer;42;F;4;High School;Married;Less than $40K;Gold;36;2;3;3;15433;15433;966;22
715190283;Existing Customer;57;F;1;Graduate;Unknown;$40K - $60K;Blue;49;3;3;2;3672;2786;1464;28
708300483;Attrited Customer;66;F;0;Doctorate;Married;Unknown;Blue;56;5;4;3;7882;7277;704;16
827111283;Existing Customer;45;M;3;Graduate;Single;$80K - $120K;Blue;41;2;2;2;32426;31848;1109;28
758551608;Existing Customer;51;M;2;Unknown;Married;$40K - $60K;Blue;44;4;1;0;6205;4001;1347;28
773146383;Existing Customer;50;F;1;College;Single;$40K - $60K;Silver;43;3;2;3;17304;14787;1756;33
778493808;Existing Customer;49;M;3;High School;Married;$60K - $80K;Blue;37;5;2;1;3906;3906;1756;32
720572508;Existing Customer;38;F;4;Graduate;Single;Unknown;Blue;28;2;3;3;9830;7775;1042;23
712661433;Existing Customer;49;M;4;Uneducated;Single;$80K - $120K;Blue;30;3;2;3;34516;34516;1444;28
789172683;Existing Customer;56;M;2;Doctorate;Married;$60K - $80K;Blue;45;6;2;0;2283;853;1741;27
738406533;Existing Customer;59;M;1;Doctorate;Married;$40K - $60K;Blue;52;3;2;2;2548;528;1719;27
799723908;Existing Customer;46;M;3;High School;Married;$80K - $120K;Blue;40;4;3;3;19458;18023;1217;27
771490833;Existing Customer;52;M;1;College;Single;$80K - $120K;Blue;40;5;1;1;4745;3518;1140;40
720756708;Existing Customer;52;F;3;Unknown;Married;Less than $40K;Blue;41;6;3;2;2622;1073;1878;30
779471883;Attrited Customer;54;F;1;Graduate;Married;Less than $40K;Blue;40;2;3;1;4455;5544;705;19
711525033;Existing Customer;66;F;0;High School;Married;Less than $40K;Blue;54;3;4;2;3171;992;1946;38
712813458;Existing Customer;49;M;2;Unknown;Married;$120K +;Blue;36;4;2;0;19763;17246;1414;35
714374133;Attrited Customer;56;M;2;Graduate;Married;$120K +;Blue;36;1;3;3;15769;15769;602;15
717891558;Existing Customer;49;F;4;Graduate;Unknown;Less than $40K;Blue;36;6;4;2;3298;1098;1052;32
716632758;Existing Customer;49;F;3;Graduate;Single;Less than $40K;Blue;36;2;2;0;2802;439;1295;40
768563658;Existing Customer;56;M;2;Uneducated;Married;$40K - $60K;Blue;50;4;2;3;4458;2578;1424;29
711427458;Existing Customer;44;F;5;Graduate;Married;Unknown;Blue;35;4;1;2;6273;5295;1359;25
714091983;Existing Customer;42;M;2;High School;Single;$60K - $80K;Blue;34;4;4;3;3336;1583;1168;27
787584108;Existing Customer;55;M;3;Unknown;Married;$80K - $120K;Blue;47;4;2;3;3436;1420;1097;33
712030833;Attrited Customer;48;M;2;Graduate;Married;$60K - $80K;Silver;35;2;4;4;34516;34516;691;15
711481533;Existing Customer;39;M;1;High School;Divorced;$60K - $80K;Blue;33;5;3;3;5926;4675;1316;28
710082708;Existing Customer;44;M;4;Post-Graduate;Single;$120K +;Blue;32;2;4;2;23957;21855;1276;26
708155733;Existing Customer;53;M;2;High School;Single;$120K +;Blue;44;4;2;2;14734;13100;1289;23
788979258;Existing Customer;51;M;4;Uneducated;Single;$80K - $120K;Silver;38;4;1;4;34516;33001;1293;32
807986133;Existing Customer;57;M;2;College;Married;$60K - $80K;Blue;52;5;3;3;6584;4767;1353;35
788730933;Existing Customer;44;F;2;Uneducated;Single;Less than $40K;Blue;20;6;3;3;2084;616;1132;28
711314058;Existing Customer;49;M;2;Graduate;Married;$60K - $80K;Blue;32;2;2;2;1687;580;1670;17
717975333;Existing Customer;50;M;2;Doctorate;Married;$80K - $120K;Blue;38;6;2;2;25300;23970;837;15
715971108;Existing Customer;51;M;4;Graduate;Single;$120K +;Blue;42;3;2;3;34516;32753;1550;41
720096558;Existing Customer;55;F;2;Graduate;Married;Less than $40K;Blue;42;5;3;3;2216;1182;1540;36
719580033;Existing Customer;54;M;1;Graduate;Unknown;$60K - $80K;Blue;43;4;2;3;2910;880;1256;21
820582308;Existing Customer;42;M;5;Uneducated;Married;$80K - $120K;Blue;37;6;2;2;22913;21385;1394;35
789973308;Existing Customer;44;M;1;College;Single;$60K - $80K;Blue;35;3;3;3;24312;22380;1341;24
712876233;Existing Customer;53;M;2;Graduate;Single;$80K - $120K;Blue;36;5;3;2;5272;3757;1289;33
804595158;Existing Customer;44;F;4;Graduate;Single;Less than $40K;Blue;36;6;4;2;7000;4483;1112;23
714826758;Existing Customer;37;F;3;Uneducated;Single;Less than $40K;Blue;29;4;4;2;7038;5237;2339;57
779058108;Existing Customer;49;M;3;Graduate;Divorced;$60K - $80K;Blue;30;6;1;2;2536;713;1468;23
710790258;Existing Customer;47;M;2;Graduate;Married;$80K - $120K;Blue;38;6;3;2;28904;27005;1334;35
715623483;Existing Customer;47;M;3;Graduate;Married;$60K - $80K;Blue;37;4;4;0;8567;6872;1457;41
715156383;Existing Customer;44;M;1;Unknown;Unknown;$120K +;Blue;36;6;2;2;34516;32983;1603;29
711013983;Attrited Customer;55;F;4;Unknown;Married;$40K - $60K;Blue;45;2;4;3;2158;2158;615;12
755420433;Existing Customer;59;F;1;Graduate;Married;Unknown;Blue;52;2;3;3;10133;8716;1068;20
794543958;Existing Customer;53;M;1;Graduate;Divorced;$80K - $120K;Blue;35;5;4;2;34516;33297;1590;27
716396358;Existing Customer;52;M;2;Graduate;Married;$60K - $80K;Blue;47;5;3;0;3085;1175;1531;35
715398033;Existing Customer;53;M;2;High School;Single;$120K +;Blue;35;4;2;1;19040;16984;1212;31
711743883;Existing Customer;43;F;3;Uneducated;Single;Less than $40K;Blue;35;5;2;3;4026;4026;1237;32
719720058;Existing Customer;44;M;3;High School;Single;$60K - $80K;Blue;31;4;3;1;12756;11919;1413;14
778992108;Existing Customer;57;M;2;Unknown;Married;$120K +;Blue;45;5;3;3;5266;5266;1516;29
717539808;Existing Customer;51;F;2;High School;Single;Less than $40K;Blue;36;3;2;2;9930;9930;1276;21
714070758;Existing Customer;49;M;4;High School;Single;$80K - $120K;Blue;38;4;3;0;31302;29349;1564;35
714107958;Existing Customer;45;M;1;Graduate;Single;$40K - $60K;Blue;36;4;4;3;6576;6576;1465;34
789140283;Existing Customer;53;M;0;Graduate;Single;$80K - $120K;Blue;42;5;4;1;2664;627;1286;29
715550508;Existing Customer;45;F;3;Unknown;Married;Unknown;Blue;28;5;1;2;2535;95;1312;20
719712633;Existing Customer;64;M;1;Graduate;Married;Less than $40K;Blue;52;6;4;3;1709;814;1673;32
772629333;Existing Customer;45;M;3;Graduate;Married;$40K - $60K;Blue;35;5;4;2;3454;2254;1313;30
720336708;Existing Customer;53;M;3;Doctorate;Married;$40K - $60K;Blue;35;5;3;2;3789;2083;1609;42
802013583;Existing Customer;56;M;3;College;Married;$120K +;Blue;50;3;2;0;9689;7439;1158;19
711887583;Attrited Customer;47;M;2;Unknown;Married;$80K - $120K;Blue;37;2;3;3;5449;3821;836;18
714778833;Existing Customer;49;F;3;College;Single;Unknown;Blue;43;4;4;0;23032;21072;1289;22
713843283;Existing Customer;41;F;3;Unknown;Married;Unknown;Silver;34;5;3;3;34516;32463;1487;26
779155158;Existing Customer;53;M;3;Graduate;Married;$120K +;Blue;34;6;2;2;2940;1676;1259;33
721091583;Existing Customer;44;F;2;Graduate;Single;Less than $40K;Blue;32;3;3;3;3031;1152;1298;15
713572683;Existing Customer;44;M;3;High School;Unknown;$60K - $80K;Blue;25;3;3;0;1862;1862;1226;34
716657058;Existing Customer;43;F;4;Post-Graduate;Married;Less than $40K;Blue;33;2;3;3;8358;7432;1566;37
779509983;Existing Customer;53;M;2;Post-Graduate;Single;$120K +;Blue;36;6;1;2;34516;33585;1022;21
717929133;Existing Customer;44;M;1;Uneducated;Married;$60K - $80K;Blue;36;5;2;3;14450;12010;1235;30
808284783;Existing Customer;62;F;1;Unknown;Married;Less than $40K;Blue;56;6;0;0;5654;55655;1951;44
708476808;Existing Customer;54;M;4;Unknown;Divorced;$120K +;Blue;36;6;3;2;33791;31831;1047;31
710916408;Existing Customer;57;M;4;Graduate;Married;$60K - $80K;Blue;39;4;3;0;8466;6580;1342;32
708492558;Existing Customer;42;M;3;Unknown;Married;$60K - $80K;Blue;36;5;3;3;15088;14223;1107;21
799825758;Existing Customer;42;M;4;High School;Divorced;$60K - $80K;Blue;36;5;1;2;3263;1589;1251;35
718619883;Existing Customer;54;F;0;Uneducated;Married;Less than $40K;Blue;36;2;2;2;1494;788;1305;24
711844758;Existing Customer;48;M;3;Graduate;Single;$80K - $120K;Blue;35;6;1;0;13551;12257;1388;37
714798783;Existing Customer;49;M;1;Graduate;Single;$80K - $120K;Blue;36;6;2;2;18886;17991;1235;18
826762908;Existing Customer;52;M;3;High School;Unknown;$80K - $120K;Blue;48;3;2;0;11976;10703;2089;36
771894558;Existing Customer;50;M;3;High School;Single;$80K - $120K;Blue;39;4;1;4;9964;8405;1626;25
721074183;Existing Customer;49;M;1;Doctorate;Married;$60K - $80K;Blue;36;4;6;3;24159;22963;1111;24
715259583;Existing Customer;53;F;2;High School;Married;Less than $40K;Blue;44;3;2;3;5362;3461;1553;38
718414008;Existing Customer;50;M;2;Graduate;Single;$120K +;Blue;36;3;2;2;34516;33493;1064;13
719666283;Existing Customer;55;F;1;Doctorate;Married;Less than $40K;Blue;36;4;1;0;3174;1223;1243;29
714877233;Existing Customer;53;M;1;High School;Married;$80K - $120K;Blue;47;3;2;2;12262;10426;1659;38
785387883;Existing Customer;47;F;3;High School;Single;$40K - $60K;Blue;41;4;3;3;3788;2248;1594;47
771075258;Existing Customer;55;M;2;College;Single;$120K +;Silver;42;2;3;2;34516;32989;1268;42
711318033;Existing Customer;47;M;3;Graduate;Single;$60K - $80K;Blue;36;4;2;2;2926;2926;1304;24
783554958;Existing Customer;58;M;4;Graduate;Single;$120K +;Blue;52;6;1;0;32090;32090;1368;30
720201033;Attrited Customer;53;M;2;Graduate;Married;$80K - $120K;Blue;41;3;3;2;11669;9442;720;23
718039683;Existing Customer;52;M;2;High School;Single;$40K - $60K;Blue;45;3;1;2;13532;12232;1521;29
710806083;Existing Customer;50;F;1;Uneducated;Unknown;Less than $40K;Silver;36;4;2;2;11888;9798;1137;30
714752208;Existing Customer;42;F;1;Graduate;Married;Less than $40K;Blue;36;5;1;2;2393;408;978;16
822063408;Existing Customer;43;M;4;Unknown;Married;$40K - $60K;Blue;39;5;1;2;6111;3594;1221;16
714490308;Existing Customer;57;M;4;Graduate;Married;$80K - $120K;Blue;46;3;2;3;19270;17608;1565;28
713356833;Existing Customer;52;M;1;Graduate;Married;$80K - $120K;Blue;43;3;1;4;3710;1193;1578;34
711402333;Existing Customer;47;M;2;Doctorate;Single;Less than $40K;Blue;37;2;1;3;3235;2438;1493;32
708296883;Existing Customer;44;F;3;Graduate;Single;$40K - $60K;Blue;38;3;1;0;11749;10961;1178;27
719154483;Existing Customer;53;M;2;High School;Divorced;$60K - $80K;Blue;36;5;3;2;7753;5653;991;26
717721458;Existing Customer;45;M;4;College;Divorced;$60K - $80K;Blue;40;5;1;0;10408;9222;2560;42
711112683;Existing Customer;63;F;1;College;Married;Unknown;Blue;36;6;2;3;3967;2399;1657;29
715674483;Existing Customer;39;F;2;Post-Graduate;Single;Less than $40K;Blue;27;4;2;2;6205;3688;1204;19
789322833;Attrited Customer;48;F;5;High School;Married;Less than $40K;Blue;38;1;3;3;8025;8025;673;18
789968058;Existing Customer;51;M;1;Unknown;Single;$120K +;Blue;42;6;2;3;9036;6709;1131;18
709919283;Existing Customer;54;M;4;Graduate;Married;$80K - $120K;Blue;34;2;3;2;14926;12409;1576;25
718744008;Existing Customer;59;F;1;Graduate;Single;Less than $40K;Blue;36;3;2;3;6335;5207;1217;20
767712558;Attrited Customer;59;M;1;College;Single;$60K - $80K;Blue;53;2;3;3;14979;14979;530;10
712950783;Attrited Customer;48;F;4;Uneducated;Married;Less than $40K;Blue;38;3;2;3;2732;2732;739;16
716104983;Existing Customer;41;F;2;Graduate;Single;Less than $40K;Blue;32;6;3;2;2250;133;1617;31
818839983;Existing Customer;55;M;2;Graduate;Married;$120K +;Blue;50;3;2;0;10916;9380;1592;34
772288758;Existing Customer;47;F;4;Graduate;Married;Unknown;Blue;36;4;1;3;5349;4121;1343;30
712350858;Existing Customer;41;M;2;High School;Married;$80K - $120K;Blue;24;4;1;3;9366;8262;1303;39
711009708;Existing Customer;40;M;3;High School;Single;$80K - $120K;Blue;28;5;1;0;21617;21617;1351;22
712720158;Existing Customer;68;M;1;Graduate;Married;Unknown;Blue;56;5;2;3;13860;12208;1910;32
712215258;Existing Customer;50;F;1;Graduate;Single;$40K - $60K;Silver;31;2;2;3;18386;18386;1298;22
773827008;Existing Customer;47;M;4;Uneducated;Single;$60K - $80K;Blue;41;6;2;2;2405;865;1087;29
795232683;Existing Customer;53;F;1;College;Married;Less than $40K;Blue;47;4;2;3;2154;1224;1439;26
713786508;Existing Customer;42;F;5;Unknown;Married;$40K - $60K;Blue;36;3;3;3;2038;2038;1238;28
713539833;Existing Customer;48;F;4;High School;Single;$40K - $60K;Blue;38;6;1;3;8135;8135;1716;29
712454058;Existing Customer;49;M;1;Doctorate;Married;$120K +;Blue;38;6;1;3;9364;8746;1099;27
718759833;Existing Customer;44;F;2;Uneducated;Married;Unknown;Silver;35;4;3;2;32643;32643;1058;24
718803333;Existing Customer;43;F;4;Graduate;Divorced;Less than $40K;Blue;34;2;3;1;3195;1241;1285;29
720253908;Existing Customer;56;M;0;High School;Married;$80K - $120K;Blue;43;5;2;1;2852;1828;1651;28
714133158;Existing Customer;59;F;1;College;Single;Unknown;Blue;36;2;3;3;4224;2919;1152;31
713187033;Existing Customer;46;M;1;Uneducated;Married;$60K - $80K;Blue;36;3;2;2;20459;18388;1767;38
714791208;Existing Customer;47;F;4;Unknown;Divorced;Less than $40K;Blue;41;6;5;3;3482;1368;1039;24
772426383;Existing Customer;50;F;4;Uneducated;Married;$40K - $60K;Blue;40;5;2;3;3065;1495;1130;28
710975883;Existing Customer;51;F;3;Uneducated;Married;Less than $40K;Blue;43;3;1;2;2185;424;1645;30
714264408;Existing Customer;47;F;3;Uneducated;Married;Less than $40K;Blue;36;4;1;0;1611;865;1413;29
715827858;Existing Customer;58;F;4;Uneducated;Married;Less than $40K;Blue;47;3;3;3;2822;649;1218;23
713741358;Attrited Customer;46;M;5;Graduate;Single;$80K - $120K;Blue;33;6;3;3;32975;30458;597;17
709531908;Existing Customer;53;M;3;High School;Married;$60K - $80K;Blue;47;5;2;2;3422;43434;2184;53
716493408;Existing Customer;45;F;4;Uneducated;Divorced;Unknown;Blue;36;4;3;3;15875;14156;1592;37
714141108;Existing Customer;52;F;1;High School;Married;Less than $40K;Blue;45;6;3;3;6703;5810;1388;28
708953883;Attrited Customer;53;M;2;Unknown;Married;$80K - $120K;Blue;36;2;2;1;3212;3212;757;20
712608783;Existing Customer;50;M;2;High School;Married;$80K - $120K;Silver;45;3;1;3;34516;33256;1504;34
820353558;Existing Customer;41;F;3;High School;Married;$40K - $60K;Blue;36;4;1;2;9797;8363;1503;34
714964758;Existing Customer;45;F;5;Graduate;Divorced;$40K - $60K;Blue;36;5;2;2;10400;8623;1105;28
716264358;Existing Customer;53;M;3;Uneducated;Married;$80K - $120K;Blue;42;2;1;2;26792;24956;2398;47
717296808;Existing Customer;67;F;1;Graduate;Married;Less than $40K;Blue;56;4;3;2;3006;489;1661;32
712977183;Existing Customer;57;F;2;Uneducated;Single;$40K - $60K;Silver;36;6;3;0;19482;18410;1421;22
710829108;Existing Customer;59;F;1;Uneducated;Married;$40K - $60K;Blue;36;4;2;3;3356;2371;999;28
779562633;Existing Customer;45;M;2;Uneducated;Married;$40K - $60K;Blue;34;3;2;1;5771;3523;1387;18
715315833;Existing Customer;51;M;3;Graduate;Married;$80K - $120K;Blue;36;6;2;3;11106;8999;1243;24
815500983;Existing Customer;59;F;1;Uneducated;Married;Less than $40K;Blue;54;5;3;0;2890;889;1860;36
719360583;Existing Customer;53;M;1;Graduate;Married;$60K - $80K;Blue;45;6;2;2;3380;1679;1502;25
709701558;Existing Customer;47;M;3;Graduate;Married;$60K - $80K;Blue;36;2;1;2;21331;20080;1460;50
721148358;Existing Customer;49;F;3;Uneducated;Single;Unknown;Blue;38;6;2;1;12860;12860;1348;27
779862408;Existing Customer;49;M;3;Post-Graduate;Single;$80K - $120K;Blue;33;3;1;0;6278;5816;1087;33
812627208;Existing Customer;60;F;0;College;Single;Less than $40K;Blue;55;5;1;3;433;434;1226;33
711033408;Existing Customer;50;F;2;High School;Married;Less than $40K;Blue;36;5;1;2;9355;7729;1230;28
779956608;Existing Customer;41;F;2;Post-Graduate;Married;Unknown;Blue;31;6;1;3;20758;20758;1555;32
780376683;Existing Customer;57;M;1;Graduate;Married;$80K - $120K;Blue;47;5;3;1;14612;20758;1827;24
717912483;Existing Customer;43;M;4;Graduate;Unknown;$80K - $120K;Blue;27;5;2;0;27259;27259;1376;35
714454758;Existing Customer;57;F;3;Graduate;Married;Less than $40K;Blue;47;4;2;3;6347;4753;1771;37
780466533;Existing Customer;54;M;3;Doctorate;Married;$120K +;Blue;41;3;3;0;21592;19916;1873;52
715735233;Existing Customer;51;F;5;Post-Graduate;Married;Less than $40K;Blue;44;5;1;1;3449;1851;1679;42
720476733;Existing Customer;47;F;3;High School;Married;Less than $40K;Blue;34;2;1;2;6028;5229;1002;22
715872333;Existing Customer;41;M;0;High School;Unknown;$120K +;Blue;36;3;2;3;18214;16216;1344;21
712375758;Existing Customer;53;M;3;Uneducated;Married;$80K - $120K;Blue;43;3;3;1;16393;14970;1461;42
708868233;Attrited Customer;68;M;0;High School;Married;Less than $40K;Blue;52;1;3;2;14383;5383;760;21
718030083;Existing Customer;59;M;1;College;Married;$60K - $80K;Blue;36;4;1;2;7871;6184;1428;22
720707283;Existing Customer;48;M;4;Unknown;Married;$80K - $120K;Blue;36;5;3;0;5288;4422;1777;42
771698658;Existing Customer;44;M;5;Graduate;Married;$60K - $80K;Blue;32;4;5;3;11376;9370;1302;27
748326258;Existing Customer;48;M;3;College;Married;$80K - $120K;Blue;41;4;5;3;12302;10670;1483;41
770817783;Existing Customer;47;M;4;Graduate;Married;$60K - $80K;Silver;33;3;2;1;34516;32837;1060;27
779353083;Existing Customer;47;M;2;Graduate;Married;$60K - $80K;Silver;32;4;2;2;34516;33048;1330;32
711441333;Existing Customer;43;F;1;High School;Divorced;Less than $40K;Silver;35;3;2;2;10514;8934;1229;27
719808558;Attrited Customer;55;F;2;Graduate;Married;Less than $40K;Blue;43;2;4;3;14383;14383;886;27
711551958;Attrited Customer;59;M;2;Post-Graduate;Married;$60K - $80K;Blue;46;3;3;3;14383;14383;844;24
809164083;Existing Customer;63;M;1;Graduate;Married;$40K - $60K;Blue;56;2;1;2;2619;840;1450;37
820596183;Existing Customer;58;M;2;College;Married;$120K +;Blue;53;2;3;0;24407;22012;2311;48
715999608;Existing Customer;53;F;2;High School;Married;Less than $40K;Blue;36;4;1;2;2377;728;1378;26
710565408;Existing Customer;59;M;0;Unknown;Unknown;$80K - $120K;Silver;40;3;2;3;34516;33157;1033;26
805543158;Existing Customer;52;M;3;Graduate;Married;$120K +;Blue;47;5;3;3;11086;8879;1523;40
709752183;Existing Customer;48;M;3;High School;Single;$60K - $80K;Blue;36;4;2;2;11432;8915;1374;37
716479233;Existing Customer;43;M;4;High School;Married;$40K - $60K;Blue;36;5;3;2;13258;11537;1080;21
713837058;Existing Customer;48;M;2;College;Single;Less than $40K;Blue;36;3;2;3;2571;616;1234;24
718876683;Existing Customer;43;F;4;Graduate;Single;Less than $40K;Blue;31;5;2;0;5781;4613;1600;32
770746908;Existing Customer;44;M;4;Unknown;Married;$60K - $80K;Blue;30;5;1;2;7872;5363;1155;32
794843883;Existing Customer;41;M;3;High School;Married;$80K - $120K;Blue;35;6;1;2;34516;33314;1353;33
803043933;Existing Customer;44;F;3;Uneducated;Divorced;Less than $40K;Silver;38;4;1;3;11127;9292;1546;25
758076408;Existing Customer;50;M;2;Unknown;Single;$40K - $60K;Blue;43;2;1;3;1857;254;1590;43
714606558;Existing Customer;60;F;1;Uneducated;Married;Less than $40K;Blue;36;5;1;0;1913;641;1448;22
778425408;Existing Customer;44;M;4;Graduate;Single;$80K - $120K;Blue;24;5;3;0;3839;1544;1271;24
714171108;Existing Customer;48;F;3;Graduate;Divorced;$40K - $60K;Blue;39;6;2;3;2115;974;1223;20
719662458;Existing Customer;44;F;2;Graduate;Divorced;Less than $40K;Blue;27;5;2;2;14383;7593;1117;29
713137233;Existing Customer;41;M;2;High School;Single;$80K - $120K;Blue;28;4;3;0;27756;25967;994;24
769425858;Existing Customer;45;M;3;College;Single;$60K - $80K;Blue;32;4;1;2;14383;14383;1468;26
711297483;Existing Customer;47;F;2;Uneducated;Divorced;Less than $40K;Silver;34;6;4;2;13878;11656;1658;38
788900883;Existing Customer;51;F;2;Graduate;Married;Less than $40K;Blue;36;3;1;3;3106;1802;1368;38
758348808;Existing Customer;51;M;2;Graduate;Married;$120K +;Blue;44;4;3;3;34516;32850;1218;18
772336458;Attrited Customer;60;F;1;Uneducated;Married;$40K - $60K;Blue;50;4;4;3;14383;4133;702;12
708711483;Existing Customer;57;M;2;Unknown;Married;$80K - $120K;Blue;46;2;3;0;18871;17131;1516;21
717906783;Existing Customer;41;M;5;Graduate;Single;$120K +;Blue;29;5;2;2;5207;3459;1310;26
719437908;Existing Customer;44;M;3;Post-Graduate;Divorced;$80K - $120K;Blue;36;6;2;2;17965;16321;1767;50
769433508;Existing Customer;43;M;1;College;Single;$60K - $80K;Blue;37;6;3;3;2733;914;933;25
790096533;Existing Customer;55;M;2;College;Married;$60K - $80K;Blue;48;4;3;2;8863;7562;1512;27
720997383;Attrited Customer;52;M;1;Uneducated;Married;$80K - $120K;Blue;36;2;3;3;1857;24;829;17
787541883;Existing Customer;44;M;3;Graduate;Unknown;$80K - $120K;Blue;33;3;3;3;34516;34516;1120;27
709930758;Existing Customer;41;M;2;Uneducated;Married;$40K - $60K;Blue;30;5;3;3;11107;9885;1506;33
789830058;Existing Customer;44;M;4;Unknown;Single;$80K - $120K;Blue;34;4;1;2;21573;19988;1384;36
710299608;Attrited Customer;53;F;2;Unknown;Married;Less than $40K;Blue;33;2;3;3;2859;342;817;30
710741208;Existing Customer;39;M;2;High School;Single;$80K - $120K;Blue;36;4;2;2;5269;3794;2094;25
821797008;Attrited Customer;49;M;5;College;Married;$40K - $60K;Blue;45;2;2;3;14383;14383;815;21
708874533;Attrited Customer;45;F;2;College;Married;Less than $40K;Blue;36;1;3;2;3387;3387;510;24
715341858;Existing Customer;54;M;2;Graduate;Married;$80K - $120K;Blue;46;6;2;3;1982;693;1377;49
793636308;Existing Customer;49;M;3;Uneducated;Single;$80K - $120K;Blue;43;2;2;2;4645;2995;1193;33
713779908;Existing Customer;46;F;3;Doctorate;Single;Unknown;Blue;36;6;3;2;2189;523;1287;36
712125258;Attrited Customer;46;M;4;High School;Married;$120K +;Blue;30;3;3;3;2442;2442;701;19
709703433;Existing Customer;47;M;3;Graduate;Married;$60K - $80K;Blue;38;4;1;2;21304;19772;1770;25
