year,name,playerId,playerSlug,positionId,teamId,status,gamesPlayed,avgMinutes,avgFouls,flagrantFouls,technicalFouls,ejections,doubleDouble,tripleDouble,minutes,rebounds,fouls,avgRebounds,avgPoints,avgFieldGoalsMade,avgFieldGoalsAttempted,fieldGoalPct,avgThreePointFieldGoalsMade,avgThreePointFieldGoalsAttempted,threePointFieldGoalPct,avgFreeThrowsMade,avgFreeThrowsAttempted,freeThrowPct,avgAssists,avgTurnovers,points,fieldGoalsMade,fieldGoalsAttempted,threePointFieldGoalsMade,threePointFieldGoalsAttempted,freeThrowsMade,freeThrowsAttempted,assists,turnovers,avgSteals,avgBlocks,steals,blocks,position,birthdate,college,draftinfo,birthplace,team,experience,rankingSalary,salary,weight,height
2002,Michael Finley,242,michael-finley,SG,DAL,inactive,69.0,39.913044,2.0869565,0.0,3.0,0.0,5.0,0.0,2754.0,360.0,144.0,5.2173915,20.637682,8.246377,17.797102,46.33599853515625,1.1014493,3.2463768,33.92857015132904,3.0434783,3.6376812,83.66500091552734,3.3333333,1.6956521,1424.0,569.0,1228.0,76.0,224.0,210.0,251.0,230.0,117.0,0.942029,0.36231884,65.0,25.0,Shooting Guard,3/6/1973,Wisconsin,"1995: Rd 1, Pk 21 (PHX)","Melrose Park, IL",,,29,"$11,953,000",,
2003,Michael Finley,242,michael-finley,SG,DAL,inactive,69.0,38.289856,1.5217391,0.0,3.0,0.0,9.0,0.0,2642.0,402.0,105.0,5.826087,19.289856,7.347826,17.289856,42.49800109863281,1.7246376,4.6666665,36.95652186870575,2.8695652,3.3333333,86.08699798583984,2.9710145,1.6521739,1331.0,507.0,1193.0,119.0,322.0,198.0,230.0,205.0,114.0,1.1014493,0.3043478,76.0,21.0,Shooting Guard,3/6/1973,Wisconsin,"1995: Rd 1, Pk 21 (PHX)","Melrose Park, IL",,,19,"$13,281,000",,
2004,Michael Finley,242,michael-finley,SG,DAL,inactive,72.0,38.583332,1.6388888,1.0,1.0,1.0,3.0,0.0,2778.0,325.0,118.0,4.513889,18.63889,7.138889,16.097221,44.3489990234375,2.0833333,5.138889,40.54054021835327,2.2777777,2.6805556,84.9739990234375,2.9444444,1.1527778,1342.0,514.0,1159.0,150.0,370.0,164.0,193.0,212.0,83.0,1.1666666,0.5416667,84.0,39.0,Shooting Guard,3/6/1973,Wisconsin,"1995: Rd 1, Pk 21 (PHX)","Melrose Park, IL",,,16,"$14,609,000",,
2005,Michael Finley,242,michael-finley,SG,DAL,inactive,64.0,36.84375,1.921875,1.0,2.0,0.0,1.0,0.0,2358.0,262.0,123.0,4.09375,15.671875,6.046875,14.171875,42.667999267578125,1.8125,4.453125,40.70175290107727,1.765625,2.125,83.08799743652344,2.640625,0.9375,1003.0,387.0,907.0,116.0,285.0,113.0,136.0,169.0,60.0,0.75,0.28125,48.0,18.0,Shooting Guard,3/6/1973,Wisconsin,"1995: Rd 1, Pk 21 (PHX)","Melrose Park, IL",,,209,"$2,675,000",,
2006,Michael Finley,242,michael-finley,SG,SA,inactive,77.0,26.467533,1.2597402,0.0,1.0,0.0,1.0,0.0,2038.0,247.0,97.0,3.2077923,10.12987,3.7142856,9.025974,41.1510009765625,1.4285715,3.6233766,39.42652344703674,1.2727273,1.4935066,85.21700286865234,1.5064934,0.8051948,780.0,286.0,695.0,110.0,279.0,98.0,115.0,116.0,62.0,0.48051947,0.09090909,37.0,7.0,Shooting Guard,3/6/1973,Wisconsin,"1995: Rd 1, Pk 21 (PHX)","Melrose Park, IL",,,204,"$2,889,000",,
2007,Michael Finley,242,michael-finley,SG,SA,inactive,82.0,22.231707,0.9268293,0.0,0.0,0.0,1.0,0.0,1823.0,223.0,76.0,2.7195122,9.02439,3.3292682,8.085366,41.17599868774414,1.2682927,3.487805,36.36363744735718,1.097561,1.195122,91.83699798583984,1.3170732,0.5609756,740.0,273.0,663.0,104.0,286.0,90.0,98.0,108.0,46.0,0.3902439,0.19512194,32.0,16.0,Shooting Guard,3/6/1973,Wisconsin,"1995: Rd 1, Pk 21 (PHX)","Melrose Park, IL",,,198,"$3,103,000",,
2008,Michael Finley,242,michael-finley,SG,SA,inactive,82.0,26.878048,1.1341463,0.0,2.0,0.0,0.0,0.0,2204.0,254.0,93.0,3.097561,10.073171,3.8414633,9.280488,41.39300155639648,1.6097561,4.3536587,36.97479069232941,0.7804878,0.9756098,80.0,1.3902439,0.68292683,826.0,315.0,761.0,132.0,357.0,64.0,80.0,114.0,56.0,0.35365853,0.12195122,29.0,10.0,Shooting Guard,3/6/1973,Wisconsin,"1995: Rd 1, Pk 21 (PHX)","Melrose Park, IL",,,241,"$2,500,000",,
2009,Michael Finley,242,michael-finley,SG,SA,inactive,81.0,28.839506,1.0123457,0.0,0.0,0.0,0.0,0.0,2336.0,270.0,82.0,3.3333333,9.679012,3.7160494,8.506173,43.6870002746582,1.6172839,3.9382715,41.06582999229431,0.6296296,0.7654321,82.25800323486328,1.4074074,0.75308645,784.0,301.0,689.0,131.0,319.0,51.0,62.0,114.0,61.0,0.45679012,0.20987654,37.0,17.0,Shooting Guard,3/6/1973,Wisconsin,"1995: Rd 1, Pk 21 (PHX)","Melrose Park, IL",,,235,"$2,500,000",,
2000,Chris Webber,897,chris-webber,C,SAC,inactive,75.0,38.4,3.52,0.0,13.0,1.0,48.0,4.0,2880.0,787.0,264.0,10.493333,24.453333,9.973333,20.64,48.31999969482422,0.36,1.2666667,28.421053290367126,4.1466665,5.52,75.12100219726562,4.6,2.9066668,1834.0,748.0,1548.0,27.0,95.0,311.0,414.0,345.0,218.0,1.6,1.7066667,120.0,128.0,Center,3/1/1973,Michigan,"1993: Rd 1, Pk 1 (ORL)","Detroit, MI",,,15,"$12,000,000",,
2001,Chris Webber,897,chris-webber,C,SAC,inactive,70.0,40.514286,3.2285714,1.0,11.0,2.0,50.0,1.0,2836.0,777.0,226.0,11.1,27.114286,11.228572,23.357143,48.073001861572266,0.028571429,0.4,7.14285746216774,4.6285715,6.5857143,70.28199768066406,4.2,2.7857144,1898.0,786.0,1635.0,2.0,28.0,324.0,461.0,294.0,195.0,1.3285714,1.6857142,93.0,118.0,Center,3/1/1973,Michigan,"1993: Rd 1, Pk 1 (ORL)","Detroit, MI",,,11,"$12,750,000",,
2002,Chris Webber,897,chris-webber,C,SAC,inactive,54.0,38.351852,3.351852,4.0,9.0,0.0,31.0,0.0,2071.0,546.0,181.0,10.111111,24.481482,9.851851,19.907408,49.48799896240234,0.09259259,0.35185185,26.31579041481018,4.685185,6.259259,74.85199737548828,4.7777777,2.925926,1322.0,532.0,1075.0,5.0,19.0,253.0,338.0,258.0,158.0,1.6666666,1.4074074,90.0,76.0,Center,3/1/1973,Michigan,"1993: Rd 1, Pk 1 (ORL)","Detroit, MI",,,9,"$14,343,000",,
2003,Chris Webber,897,chris-webber,C,SAC,inactive,67.0,39.134327,3.0447762,0.0,5.0,0.0,45.0,3.0,2622.0,704.0,204.0,10.5074625,23.014925,9.865672,21.38806,46.12699890136719,0.07462686,0.31343284,23.80952388048172,3.2089553,5.283582,60.73400115966797,5.432836,3.2089553,1542.0,661.0,1433.0,5.0,21.0,215.0,354.0,364.0,215.0,1.5820895,1.3134328,106.0,88.0,Center,3/1/1973,Michigan,"1993: Rd 1, Pk 1 (ORL)","Detroit, MI",,,6,"$15,937,000",,
2004,Chris Webber,897,chris-webber,C,SAC,inactive,23.0,36.130436,3.3043478,0.0,1.0,0.0,8.0,0.0,831.0,200.0,76.0,8.695652,18.695652,7.5652175,18.304348,41.33000183105469,0.04347826,0.2173913,20.000000298023224,3.5217392,4.9565215,71.0530014038086,4.5652175,2.6086957,430.0,174.0,421.0,1.0,5.0,81.0,114.0,105.0,60.0,1.3478261,0.8695652,31.0,20.0,Center,3/1/1973,Michigan,"1993: Rd 1, Pk 1 (ORL)","Detroit, MI",,,4,"$17,351,000",,
2005,Chris Webber,897,chris-webber,C,PHI,inactive,67.0,35.373135,3.1940298,0.0,7.0,0.0,31.0,4.0,2370.0,612.0,214.0,9.134328,19.492537,8.283582,19.149254,43.257999420166016,0.2238806,0.6567164,34.090909361839294,2.7014925,3.402985,79.38600158691406,4.7462687,2.716418,1306.0,555.0,1283.0,15.0,44.0,181.0,228.0,318.0,182.0,1.4029851,0.7910448,94.0,53.0,Center,3/1/1973,Michigan,"1993: Rd 1, Pk 1 (ORL)","Detroit, MI",,,2,"$19,125,000",,
2006,Chris Webber,897,chris-webber,C,PHI,inactive,75.0,38.573334,2.92,0.0,1.0,0.0,38.0,0.0,2893.0,741.0,219.0,9.88,20.24,8.226666,18.96,43.38999938964844,0.28,1.0266666,27.272728085517883,3.5066667,4.64,75.57499694824219,3.4133334,2.4266667,1518.0,617.0,1422.0,21.0,77.0,263.0,348.0,256.0,182.0,1.3733333,0.82666665,103.0,62.0,Center,3/1/1973,Michigan,"1993: Rd 1, Pk 1 (ORL)","Detroit, MI",,,454,"$407,313",,
2007,Chris Webber,897,chris-webber,C,DET,inactive,61.0,29.852459,2.3442624,0.0,3.0,0.0,13.0,0.0,1821.0,437.0,143.0,7.163934,11.213115,4.7377048,10.4754095,45.22700119018555,0.06557377,0.18032786,36.36363744735718,1.6721312,2.6229508,63.74999999999999,3.081967,1.7540984,684.0,289.0,639.0,4.0,11.0,102.0,160.0,188.0,107.0,0.9836066,0.6721311,60.0,41.0,Center,3/1/1973,Michigan,"1993: Rd 1, Pk 1 (ORL)","Detroit, MI",,,460,"$358,107",,
1999,Shareef Abdur-Rahim,3,shareef-abdur-rahim,PF,VAN,inactive,50.0,40.42,2.74,0.0,5.0,0.0,11.0,0.0,2021.0,374.0,137.0,7.48,23.04,7.72,17.86,43.22499847412109,0.22,0.72,30.55555522441864,7.38,8.78,84.05500030517578,3.44,3.72,1152.0,386.0,893.0,11.0,36.0,369.0,439.0,172.0,186.0,1.38,1.1,69.0,55.0,Power Forward,12/11/1976,California,"1996: Rd 1, Pk 3 (VAN)","Marietta, GA",,,14,"$9,000,000",,
2000,Shareef Abdur-Rahim,3,shareef-abdur-rahim,PF,VAN,inactive,82.0,39.30488,2.9756098,0.0,10.0,1.0,41.0,0.0,3223.0,825.0,244.0,10.060976,20.280487,7.243902,15.573171,46.51499938964844,0.35365853,1.1707317,30.20833432674408,5.4390244,6.719512,80.94400024414062,3.304878,3.0365853,1663.0,594.0,1277.0,29.0,96.0,446.0,551.0,271.0,249.0,1.0853659,1.0609756,89.0,87.0,Power Forward,12/11/1976,California,"1996: Rd 1, Pk 3 (VAN)","Marietta, GA",,,26,"$10,125,000",,
2001,Shareef Abdur-Rahim,3,shareef-abdur-rahim,PF,VAN,inactive,81.0,40.012344,2.9382715,1.0,11.0,1.0,33.0,0.0,3241.0,735.0,238.0,9.074074,20.530865,7.45679,15.802469,47.1879997253418,0.14814815,0.79012346,18.75,5.4691358,6.5555553,83.427001953125,3.0864198,2.851852,1663.0,604.0,1280.0,12.0,64.0,443.0,531.0,250.0,231.0,1.1111112,0.9506173,90.0,77.0,Power Forward,12/11/1976,California,"1996: Rd 1, Pk 3 (VAN)","Marietta, GA",,,16,"$11,250,000",,
2002,Shareef Abdur-Rahim,3,shareef-abdur-rahim,PF,ATL,inactive,77.0,38.701298,2.7792208,0.0,17.0,1.0,32.0,0.0,2980.0,696.0,214.0,9.038961,21.246754,7.766234,16.844156,46.10599899291992,0.27272728,0.90909094,30.000001192092896,5.4415584,6.7922077,80.11499786376953,3.1038961,3.2467532,1636.0,598.0,1297.0,21.0,70.0,419.0,523.0,239.0,250.0,1.2727273,1.0519481,98.0,81.0,Power Forward,12/11/1976,California,"1996: Rd 1, Pk 3 (VAN)","Marietta, GA",,,13,"$12,375,000",,
2003,Shareef Abdur-Rahim,3,shareef-abdur-rahim,PF,ATL,inactive,81.0,38.11111,2.9629629,0.0,9.0,0.0,29.0,0.0,3087.0,677.0,240.0,8.358025,19.851852,6.987654,14.6049385,47.84400177001953,0.25925925,0.7407407,34.99999940395355,5.617284,6.6790123,84.10399627685547,2.9876542,2.617284,1608.0,566.0,1183.0,21.0,60.0,455.0,541.0,242.0,212.0,1.074074,0.4691358,87.0,38.0,Power Forward,12/11/1976,California,"1996: Rd 1, Pk 3 (VAN)","Marietta, GA",,,10,"$13,500,000",,
2004,Shareef Abdur-Rahim,3,shareef-abdur-rahim,PF,POR,inactive,85.0,31.576471,2.6117647,0.0,11.0,0.0,28.0,0.0,2684.0,639.0,222.0,7.5176473,16.282352,5.894118,12.4,47.53300094604492,0.105882354,0.4,26.470589637756348,4.388235,5.047059,86.94599914550781,2.0470588,2.164706,1384.0,501.0,1054.0,9.0,34.0,373.0,429.0,174.0,184.0,0.8,0.43529412,68.0,37.0,Power Forward,12/11/1976,California,"1996: Rd 1, Pk 3 (VAN)","Marietta, GA",,,7,"$14,625,000",,
